departamento,departamento_iso,fecha_inicio_semana,fecha_fin_semana,anio,numero_semana,n_dias_esperados,n_dias_observados,cobertura_temporal_pct,cobertura_espacial_min_pct,precipitation_days_weekly,temperature_2m_max_mean_weekly,temperature_2m_max_weekly,temperature_2m_min_mean_weekly,temperature_2m_min_weekly,relative_humidity_2m_min_mean_weekly,relative_humidity_2m_min_weekly,relative_humidity_2m_max_mean_weekly,relative_humidity_2m_max_weekly,wind_speed_10m_max_mean_weekly,wind_speed_10m_max_weekly,precipitation_sum_weekly,precipitation_max_daily_weekly,et0_fao_evapotranspiration_sum_weekly,et0_fao_evapotranspiration_max_daily_weekly,wind_direction_10m_resultant_length_spatial_daily_mean_weekly,wind_direction_10m_dominant_circular_mean_weekly,wind_direction_10m_resultant_length_weekly
Flores,UY-FS,2017-11-06,2017-11-12,2017,45,7,7,100.0,100.0,4,24.365714285714287,26.4,13.928571428571429,10.8,41.25714285714286,30,85.34285714285714,95,5.297714285714285,7.72,1.2000000000000002,0.62,36.572,6.08,0.9973034278990598,221.1830482444257,0.13819379945247778
Flores,UY-FS,2017-11-13,2017-11-19,2017,46,7,7,100.0,100.0,3,25.98,33.5,13.148571428571428,9.7,34.51428571428571,26,79.02857142857144,91,6.759142857142857,9.89,3.8,3.44,42.984,7.52,0.99013741259627,331.7483702387803,0.3138492634649196
Flores,UY-FS,2017-11-20,2017-11-26,2017,47,7,7,100.0,100.0,3,23.425714285714285,29.2,11.254285714285714,7.6,34.77142857142857,30,80.82857142857142,93,6.113142857142857,9.79,6.24,5.46,39.804,7.95,0.9931389023156486,69.11352328221828,0.24584225693588305
Flores,UY-FS,2017-11-27,2017-12-03,2017,48,7,7,100.0,100.0,1,26.888571428571428,28.8,14.017142857142858,9.0,35.885714285714286,27,81.22857142857143,93,6.277142857142857,8.45,3.12,3.12,44.82,7.4,0.9986707825436925,89.55537631854486,0.7863470139312926
Flores,UY-FS,2017-12-04,2017-12-10,2017,49,7,7,100.0,100.0,4,29.065714285714286,33.9,16.825714285714287,15.1,33.285714285714285,22,88.85714285714286,96,5.498571428571429,7.25,2.8600000000000003,2.3600000000000003,42.31,8.41,0.9964694679032242,129.3122303528002,0.12645064759484112
Flores,UY-FS,2017-12-11,2017-12-17,2017,50,7,7,100.0,100.0,3,30.771428571428572,36.1,17.40857142857143,13.3,29.400000000000002,24,73.45714285714287,94,6.2788571428571425,9.83,23.66,23.54,48.79,8.11,0.9970641575812396,350.39461969549876,0.1195415474219001
Flores,UY-FS,2017-12-18,2017-12-24,2017,51,7,7,100.0,100.0,3,26.52285714285714,32.7,15.594285714285714,9.6,45.48571428571428,32,83.57142857142857,96,5.501142857142857,8.54,10.28,9.78,36.884,6.54,0.9968689486601187,83.57706786243286,0.7369378970580567
Flores,UY-FS,2017-12-25,2017-12-31,2017,52,7,7,100.0,100.0,2,32.11142857142857,35.5,19.139999999999997,14.4,32.34285714285714,25,79.8,90,4.381428571428572,7.02,7.04,6.94,47.352000000000004,7.73,0.9975364572502813,56.58996077593942,0.5231202745648484
Florida,UY-FD,2017-01-02,2017-01-08,2017,1,7,7,100.0,100.0,3,27.96142857142857,30.5,17.86857142857143,12.6,54.457142857142856,32,93.11428571428571,99,6.1088571428571425,9.67,50.7,25.68,34.507999999999996,6.82,0.9979195062890559,42.74515891473768,0.42234232144242384
Florida,UY-FD,2017-01-09,2017-01-15,2017,2,7,7,100.0,100.0,5,28.292857142857144,31.1,16.99142857142857,12.6,47.542857142857144,35,89.68571428571428,99,5.451714285714286,7.26,19.26,13.680000000000001,39.387,6.98,0.9950866814768771,33.038853452851654,0.3484175144186754
