coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_LA_G_E700000_N6300000,Lavalleja,UY-LA,-33.420738,-54.848967,700000.0,6300000.0,7740.56386004992,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.399998,-54.799995,Lavalleja,5103.676772063729,True
URY_LA_G_E725000_N6250000,Lavalleja,UY-LA,-33.866353,-54.567642,725000.0,6250000.0,8628.71072848459,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-54.6,Lavalleja,4785.1775421544535,True
URY_LA_G_E725000_N6275000,Lavalleja,UY-LA,-33.64107399999999,-54.573999,725000.0,6275000.0,17134.460798501153,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.6,-54.6,Lavalleja,5156.319861908387,True
URY_MA_G_E675000_N6150000,Maldonado,UY-MA,-34.777181,-55.087522,675000.0,6150000.0,11151.258671007065,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.8,-55.1,Maldonado,2777.071600961312,True
URY_MA_G_E700000_N6150000,Maldonado,UY-MA,-34.772583,-54.814476,700000.0,6150000.0,12614.325337419748,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.8,-54.799995,Maldonado,3318.0953662586603,True
URY_MA_G_E700000_N6175000,Maldonado,UY-MA,-34.54729900000001,-54.820385,700000.0,6175000.0,15579.191005020186,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.5,-54.799995,Maldonado,5571.486121100653,True
URY_MO_F_RP_E569972_N6146656,Montevideo,UY-MO,-34.819959923306975,-56.234876622924894,569972.0858236195,6146655.618174992,5540.557403253214,representative_point_fallback,7500,EPSG:32721,,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.8,-56.199997,Montevideo,3883.070185793406,True
URY_PA_G_E400000_N6450000,Paysandú,UY-PA,-32.081855999999995,-58.059617,400000.0,6450000.0,8308.709040201129,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.1,-58.1,Paysandú,4309.330712623874,True
URY_PA_G_E425000_N6425000,Paysandú,UY-PA,-32.309310999999994,-57.796701,425000.0,6425000.0,26151.33622762925,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.3,-57.799995,Paysandú,1077.758749105916,True
URY_PA_G_E425000_N6450000,Paysandú,UY-PA,-32.083794,-57.794738,425000.0,6450000.0,32941.453405218934,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.1,-57.799995,Paysandú,1863.7032904396826,True
URY_PA_G_E425000_N6475000,Paysandú,UY-PA,-31.858269000000004,-57.792798,425000.0,6475000.0,25822.67164222708,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.899998,-57.799995,Paysandú,4675.402828981357,True
URY_PA_G_E425000_N6500000,Paysandú,UY-PA,-31.632737,-57.790878000000006,425000.0,6500000.0,8450.52920103259,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.599998,-57.799995,Paysandú,3730.5232966257045,True
